flag	content
descDefault_BF	Un uniforme escolar estándar. Aquellos que aparecen en el club misteriosamente reciben uno<N>para usar.
descRegular_BF	Ajuste habitual de BF. Cómodo de llevar y perversamente funky.
descMinus_BF	BF de un universo alternativo. Él es solo una de las tres variaciones de BF en su mundo natal.
descSutazu	¿Quién es ella? ¡¿Por qué sigue apareciendo en lugares aleatorios?!
descSoft	Benjamin no tiene idea de cómo llegó aquí, pero espera que estas colegialas parezcan lo suficientemente agradables.
descCow	Asociado con el Sr. Bird, él siempre está ahí para ofrecerle a Sayori un abrazo<N>de energía muy necesario. Ah, y ahora es consciente.
descBlueSky_BF	Vestimenta de la profesora Sakurai. ¿Qué mejor manera de cortejar a tu novia que <N>contándole las atrocidades de la historia del siglo XX?
descHoloFunk_BF	Una estrella en ascenso que vuelve a la escena, Aloe no sabe cómo llegó aquí, pero con su cercano Genmate Nene a su lado, puede hacer cualquier cosa.
descDefault_GF	Un uniforme escolar estándar.<N>GF puede estar en la escuela ahora, pero su cabeza continúa vacía.
descRegular_GF	El vestido rojo favorito de GF. Una herencia de su madre.
descMinusGF	de un universo alternativo. Siempre lista para hablar con su fuerte acento cockney.
descSoftPico	Donde va Benjamín, Pico lo sigue para mantenerlo a salvo.
descTBD	¡La mascota del Team TBD! Está contenta de que hayas jugado el mod hasta el final,<N>y también lo está el resto del equipo TBD. ¡Gracias!
descSayoGF	Estos sprites eran demasiado lindos para no dejarlos usarlos en ningún lado.
descBlueSky_GF	Traje de madre de Protag. No es raro que tu novia se vista como la mamá de alguien si tiene estilo, ¿verdad?
descHoloFunk_GF	Esta no es la primera vez que Nene participa en un espeluznante juego de secundaria.<N>Espera que haya menos ERROR esta vez.
descDefault_MO	Un uniforme escolar estándar. Monika ha cambiado un poco el suyo.
descCasual_MO	La ropa casual de Monika. Los suéteres son verdaderamente el pináculo de la comodidad casual. (Yuri estaría de acuerdo.)
descValentine_MO	Un vestido blanco de verano. Si bien nunca se vio en el juego, Monika usa este atuendo en varias obras de arte promocionales.
descNeo_MO	Monika de un universo alternativo. En este mundo de neón futurista, <N> Monika es una IA suave pero tortuosa que se propone encontrar a su creador.
descFestival_MO	Uniforme de Hex. La habilidad atlética de Monika también podría convertirla en una estrella de baloncesto de primer nivel como Hex.
descFriends_MO	Uniforme de Senpai. Monika podría incluso usarlo mejor que Senpai.
descBlueSky_MO	Traje de invierno de Monika de Blue Skies. La falta de ruta no impidió que al presidente del club le faltara estilo.
descVigilante	Traje de ladrón de Monika de Doki Doki Vigilante. ¡Es hora de despertar, levantarse, <N> y salir!
descDefault_SA	Un uniforme escolar estándar. Sayori ha crecido un poco, por lo que la chaqueta no le queda bien.
descCasual_SA	Ropa casual de Sayori. Sencillo, bonito y muy cómodo.
descPicnic_SA	La adorable ropa de verano de Sayori. Perfecto para usar mientras compartes bocadillos con tus amigos.
descFestival_SA	Vestimenta de Grace. Sayori se identifica fácilmente con las emociones que Grace expresa en sus canciones.
descFriends_SA	Una sudadera con capucha inspirada en Zipper. Es mucho mejor que llevar una camisa de fuerza entera.
descBlueSky_SA	Traje de invierno de Sayori de Blue Skies. ¿Zapatillas cómodas? Controlar. ¿Traje sencillo? Compruébelo. <N> ¿Ni siquiera está completamente metido? Sí, eso es Sayori bien.
descSleepWear	La ropa de dormir de Sayori. Solo se la ha visto usando esto durante <N> circunstancias "desafortunadas".
descDefault_NA	Un uniforme escolar estándar. Natsuki's es el tamaño más pequeño que ofrecen.
descCasual_NA	Ropa casual de Natsuki. Se olvidó su micrófono, así que sacó el viejo y confiable cepillo para el cabello.
descSkater_NA	El ajuste skater de Natsuki. ¡Tanto elegante como deportivo!
descFestival_NA	El ajuste de Kapi. Una elección natural, dada la afinidad de Natsuki por los gatos.
descFriends_NA	Look del Sunday. Sunday quedó impresionado de que Natsuki pudiera igualarlos en una competencia de gritos.
descHank	Antipatía de Hank. En caso de que de alguna manera pensaras que Natsuki tenía la paciencia<N>para lidiar con tu mierda.
descBlueSky_NA	Disfraz de Halloween de Natsuki de Blue Skies. Apodado 'Natspooki' para su disgusto.
descBuff_NA	Cuadradito, thot.
descDefault_YU	Un uniforme escolar estándar. Yuri's es el tamaño más grande que ofrecen.
descCasual_YU	Ropa casual de Yuri. Perfecto para relajarse y leer todo el día.
descDerby_YU	El equipo de patinaje sobre ruedas de Yuri. Ha aprendido a mantener un equilibrio extremadamente bueno sobre ruedas.
descPicnic_YU	Vestido de verano de Yuri. Siempre puedes contar con el sentido de la moda de Yuri para complementar su personalidad.
descFestival_YU	Túnicas de iglesia de Taki. Motosierra no incluida.
descFriends_YU	Traje de Tabi. Yuri y Tabi han formado un vínculo mutuo por su afición a los cuchillos.
descBlueSky_YU	Traje de invierno de Yuri de Blue Skies. Yuri realmente tiene afinidad por vestirse de negro.
descDefault_PR	Un uniforme escolar estándar. Para un individuo igualmente estándar.
descCasual_PR	La ropa casual de la protagonista. Mucha interpretación aquí ya que solo ves la mitad superior y la vista trasera de este atuendo en el juego.
descHotline	Rude 1's fit. Monika y Yuri sugirieron el look después de su <N>extraño encuentro con cierta dama del espacio funky.
descBlueSky_PR	El Traje del Protagonista de Invierno.Si logras llevar a Yuri a ver un emocionante espectáculo de fuegos artificiales <N>en Blue Skies, atraparás a Protag con este atuendo.
