flag	content
unlockSecret	¡Secreto! No le diremos cómo desbloquear este.
unlockSoft	Tenga un archivo guardado para Friday Night Funkin' Soft o Juega It's Complicated (Sayori Mix) con el disfraz de festival en modo espejo.
unlockCow	¡Tenga un archivo guardado para Doki Doki Literature Club! o Doki Doki Literature Club Plus! ¡o vence a Our Harmony con todos los disfraces casuales!
unlockHoloFunk	Encuentra y haz clic en un determinado súcubo en el menú de la Galería de pegatinas.
unlockTBD	Supera todas las canciones de Doki Doki Takeover al menos una vez.
unlockFestival_SA	Consigue una precisión del 90 % o superior en It's Complicated (Sayori Mix).
unlockFestival_NA	Consigue una precisión del 90 % o superior en Beathoven (Natsuki Mix).
unlockFestival_YU	Consigue una precisión del 90 % o superior en  Crucify (Yuri Mix).
unlockFestival_MO	Consigue una precisión del 90 % o superior en  Glitcher (Monika Mix).
unlockFriends_SA	Consigue una precisión del 90 % o superior en  Constricted.
unlockFriends_NA	Tenga un archivo guardado para Vs. el domingo o juega Baka en modo espejo.
unlockFriends_YU	Tenga un archivo guardado para Vs. Tabi o juega a Obsession en modo espejo.
unlockFriends_MO	Vence a Wilted en modo espejo.
unlockHank	Encuentra y haz clic en cierto asesino vulgar en el Menú de la Galería de Arte.
unlockSleepWear	Experimenta un final malo o vence a Joyride en modo espejo.
unlockHotline	Tenga un archivo guardado para Hotline 024 o supere AMBOS Deep Breaths y Poems n' Thorn en Mirror Mode.
unlockPicnic_YU	Elige a Yuri en Tú y yo.
unlockPicnic_SA	Elige a Sayori en Tú y yo.
unlockSkater	Elige a Natsuki en Tú y yo.
unlockDerby	Elige a Yuri en Catfight.
unlockVigilante	Elige a Monika en You and Me.
unlockNeo	Consigue una precisión del 90 % o superior en Drinks on Me.
unlockValentine	Juega una versión alternativa de Epiphany.
unlockBlueSkies_BF	Consigue una precisión del 90 % o superior en Your Demise.
unlockBlueSkies_GF	Juega Love n' Funkin' en el Modo Espejo.
unlockBlueSkies_SA	Juega My Confession en el Modo Espejo.
unlockBlueSkies_NA	Eliga a Natsuki en Catfight.
unlockBlueSkies_YU	Juega Shrinking Violet en el Modo Espejo.
unlockBlueSkies_MO	Juega Reconciliation en el Modo Espejo.
unlockBlueSkies_PR	Falla You and Me al no elegir un doki.
