flag	content
msgPrologue	Las canciones de prólogo ahora están disponibles en el menú Freeplay.
msgSayo	Las canciones de Sayori ahora están disponibles en el menú Freeplay.
msgGFCount	<Q>Cuenta regresiva para novias<Q> ¡desbloqueada!<N>Actívala en el menú Opciones.
msgNat	Las canciones de Natsuki ahora están disponibles en el menú Freeplay.
msgYuri	Las canciones de Yuri ahora están disponibles en el menú Freeplay.
msgMonika	<Q>Reconciliación<Q> ahora está disponible en el menú Freeplay.
msgFestival	Las canciones del Festival ya están disponibles en el menú Freeplay.
msgEncore	Las canciones de Encore Week ya están disponibles en el menú Freeplay.
msgProtag	Las canciones del protagonista ahora están disponibles en el menú Freeplay.
msgExtra1	<Q>Poems n' Thorns<Q> ¡desbloqueado!<N>Accede a la canción en el menú Freeplay.
msgExtra2	<Q>Dual Demise<Q> ¡desbloqueado!<N>Accede a la canción en el menú Freeplay.
msgEpiphany	Epifanía<N>desbloqueada.
msgMirror	¡Se han desbloqueado el modo espejo y las notas aleatorias!<N>Cambia en el menú de modificadores.
msgLyrics	<Q>¡Vuelve pronto! Tengo otra sorpresa para ti~<Q>
msgSide	¡Historias secundarias desbloqueadas!<N>¡Disfruta de una selección de canciones adicionales con una historia adicional en el modo Historia!
msgCostume	¡Selección de vestuario desbloqueada!<N>¡Pruébate varios atuendos nuevos para cada personaje en Freeplay!
msgExtra3	¡La canción del Festival del Protagonista ha sido desbloqueada! Accede a él en el menú Freeplay.
msgCredits	¡Ahora se puede acceder a los créditos<N>en el menú principal!
msgGallery	¡Ahora se puede acceder a la galería de arte y calcomanías en el menú principal!
msgVA11HallA	Algo se está moviendo<N>en el menú principal...
msgLibitina	DATOS NO RECONOCIDOS DESCUBIERTOS<N>EN EL MENÚ DE HISTORIAS PARALELAS
